32 -3 29.44 -2.76
-51 -2 -46.92 -1.84
-106 1 -97.52 0.92
-183 2 -168.36 1.84
-203 -5 -186.76 -4.6
-310 -106 -285.2 -97.52
-465 -361 -427.8 -332.12
-488 -474 -448.96 -436.08
-431 -677 -396.52 -622.84
-349 -772 -321.08 -710.24
-225 -854 -207.0 -785.68
-177 -875 -162.84 -805.0
-158 -885 -145.36 -814.2
-65 -902 -59.8 -829.84
-19 -905 -17.48 -832.6
30 -907 27.6 -834.44
-60 -904 -55.2 -831.68
-90 -894 -82.8 -822.48
-310 -785 -285.2 -722.2
-412 -672 -379.04 -618.24
-389 -671 -357.88 -617.32
-449 -516 -413.08 -474.72
-443 -295 -407.56 -271.4
-361 -75 -332.12 -69.0
-315 -39 -289.8 -35.88
-218 -10 -200.56 -9.2
-58 16 -53.36 14.72
78 -16 71.76 -14.72
274 -129 252.08 -118.68
340 -205 312.8 -188.6
410 -274 377.2 -252.08
444 -365 408.48 -335.8
444 -442 408.48 -406.64
359 -655 330.28 -602.6
224 -790 206.08 -726.8
226 -788 207.92 -724.96
131 -854 120.52 -785.68
51 -872 46.92 -802.24
-132 -846 -121.44 -778.32
-245 -762 -225.4 -701.04
-280 -733 -257.6 -674.36
-333 -667 -306.36 -613.64
-365 -626 -335.8 -575.92
-413 -553 -379.96 -508.76
-433 -423 -398.36 -389.16
-432 -325 -397.44 -299.0
-435 -305 -400.2 -280.6
-443 -340 -407.56 -312.8
-444 -404 -408.48 -371.68
-406 -581 -373.52 -534.52
-314 -726 -288.88 -667.92
-197 -833 -181.24 -766.36
-148 -856 -136.16 -787.52
87 -868 80.04 -798.56
